"fever2wk","male","urban","pinf.rdt0","pinf.rdt1","pinf","reg","age"
0,1,0,0.280572261,0.807549542,0.715457553,"Centre-Est",3
0,1,0,0.383970613,0.842565378,0.751085319,"Centre-Est",4
1,1,0,0.238041951,0.763135467,0.625342534,"Centre-Est",0
1,1,0,0.313656594,0.764991721,0.651895667,"Centre-Est",1
1,1,0,0.346709987,0.797886458,0.715825341,"Centre-Est",2
1,1,0,0.319163153,0.787477725,0.706378017,"Centre-Est",3
1,1,0,0.421410188,0.823621965,0.742149221,"Centre-Est",4
0,0,1,0.054893753,0.588208659,0.298325031,"Centre-Est",0
0,0,1,0.07655011,0.583271581,0.32391969,"Centre-Est",1
0,0,1,0.082803039,0.609842834,0.39027442,"Centre-Est",2
0,0,1,0.072928543,0.591288765,0.379380138,"Centre-Est",3
0,0,1,0.111908332,0.654588455,0.421104839,"Centre-Est",4
1,0,1,0.061690654,0.541083193,0.289091259,"Centre-Est",0
1,0,1,0.084966674,0.539196404,0.314020828,"Centre-Est",1
1,0,1,0.094317738,0.571994608,0.380311058,"Centre-Est",2
1,0,1,0.083550699,0.552653265,0.369106043,"Centre-Est",3
1,0,1,0.126271421,0.615375171,0.410097198,"Centre-Est",4
0,1,1,0.054460564,0.564352071,0.282786406,"Centre-Est",0
0,1,1,0.075162785,0.558824236,0.307076975,"Centre-Est",1
0,1,1,0.081827175,0.588455344,0.372174166,"Centre-Est",2
0,1,1,0.072282169,0.568795097,0.361712772,"Centre-Est",3
0,1,1,0.111119003,0.633536117,0.401720305,"Centre-Est",4
1,1,1,0.060908329,0.518520702,0.273176093,"Centre-Est",0
1,1,1,0.084205487,0.514597868,0.297578588,"Centre-Est",1
1,1,1,0.093242744,0.549549754,0.363148597,"Centre-Est",2
1,1,1,0.082917224,0.531126298,0.350476354,"Centre-Est",3
1,1,1,0.12432861,0.593064801,0.391695833,"Centre-Est",4
0,0,0,0.167218405,0.772333139,0.643371092,"Centre-Nord",0
0,0,0,0.166639058,0.767166047,0.656025829,"Centre-Nord",1
0,0,0,0.242823527,0.796818933,0.720801129,"Centre-Nord",2
0,0,0,0.269336877,0.833417356,0.766018462,"Centre-Nord",3
0,0,0,0.34657184,0.820884447,0.748633794,"Centre-Nord",4
1,0,0,0.070328341,0.727465596,0.61143635,"Centre-Nord",0
1,0,0,0.066462281,0.722844808,0.623227247,"Centre-Nord",1
1,0,0,0.106552439,0.759181961,0.690591672,"Centre-Nord",2
1,0,0,0.117130771,0.800628037,0.739914581,"Centre-Nord",3
1,0,0,0.175142737,0.788308285,0.720655748,"Centre-Nord",4
0,1,0,0.173985781,0.755777603,0.628064772,"Centre-Nord",0
0,1,0,0.172617448,0.750723327,0.639090623,"Centre-Nord",1
0,1,0,0.253332677,0.782052511,0.705915855,"Centre-Nord",2
0,1,0,0.27959423,0.820657695,0.752986462,"Centre-Nord",3
0,1,0,0.35363826,0.807043729,0.735535204,"Centre-Nord",4
1,1,0,0.074115775,0.710509572,0.595307103,"Centre-Nord",0
1,1,0,0.070438058,0.705609353,0.606200917,"Centre-Nord",1
1,1,0,0.112335635,0.743676031,0.676284045,"Centre-Nord",2
1,1,0,0.123588069,0.787310394,0.72567727,"Centre-Nord",3
1,1,0,0.181500773,0.7736542,0.706078855,"Centre-Nord",4
0,0,1,0.062232957,0.539131176,0.340487106,"Centre-Nord",0
0,0,1,0.060996841,0.527419079,0.352457049,"Centre-Nord",1
0,0,1,0.091857445,0.561491508,0.422029098,"Centre-Nord",2
0,0,1,0.103582408,0.617847157,0.479365752,"Centre-Nord",3
0,0,1,0.139979699,0.597951133,0.455547426,"Centre-Nord",4
1,0,1,0.024268224,0.475151546,0.310121619,"Centre-Nord",0
1,0,1,0.022565148,0.465145111,0.32147953,"Centre-Nord",1
1,0,1,0.036295647,0.50596424,0.38897072,"Centre-Nord",2
1,0,1,0.040378919,0.563115332,0.44582315,"Centre-Nord",3
1,0,1,0.061461006,0.545455293,0.420745784,"Centre-Nord",4
0,1,1,0.064281212,0.515709169,0.32588037,"Centre-Nord",0
0,1,1,0.062730484,0.505087311,0.337071848,"Centre-Nord",1
0,1,1,0.095771114,0.539952352,0.406714226,"Centre-Nord",2
0,1,1,0.108037224,0.596677398,0.463689447,"Centre-Nord",3
0,1,1,0.144299521,0.575521055,0.43889953,"Centre-Nord",4
1,1,1,0.025479815,0.452609767,0.295548345,"Centre-Nord",0
